name,description,price,stock,category
iPhone 14 Pro,Latest Apple smartphone with advanced camera,999.99,25,Electronics
Wireless Headphones,Noise cancelling over-ear headphones,199.99,15,Electronics
Leather Jacket,Premium genuine leather jacket for men,149.99,8,Clothing
Coffee Maker,Automatic drip coffee maker with timer,89.99,12,Home & Kitchen
Running Shoes,Lightweight running shoes for athletes,129.99,30,Sports
Backpack,Water-resistant laptop backpack,59.99,18,Accessories
Smart Watch,Fitness tracker with heart rate monitor,249.99,5,Electronics
Desk Lamp,LED desk lamp with adjustable brightness,39.99,22,Home & Kitchen
Yoga Mat,Non-slip yoga mat with carrying strap,29.99,40,Sports
Bluetooth Speaker,Portable waterproof speaker,79.99,11,Electronics
